;marca;preco
0;Placa Mãe B550M Aorus Elite, AMD AM4, DDR4, Micro ATX - Gigabyte;R$ 1.511,36
1;Placa Mãe Gigabyte H510M Rev.1.0, Intel LGA1200 10a E 11a Geração, Micro ATX, DDR4 - H510M H;R$ 550,80
2;Placa Mãe MSI PRO B660M-A, LGA 1700, mATX, DDR4 - 911-7D43-004;R$ 1.099,99
3;Placa Mãe Gigabyte Amd, Ddr4, Am4 - Ga-a320m-s2h;R$ 413,01
4;Placa Mãe Gigabyte A520m S2h, Soquete AMD Am4, Matx, DDR4;R$ 548,91
5;Placa Mãe Asus TUF Gaming B550M-PLUS Wi-Fi II, AMD, mATX, DDR4, RGB, Wi-Fi - 90MB19Y0-M0EAY0;R$ 1.199,99
6;Placa Mae Asus TUF Gaming B550M-PLUS, M.2 mATX , DDR4, Aura para fita RGB, - 90mb14a0-c1bay0.;R$ 1.301,10
7;Placa Mãe Gigabyte, H610m H, DDR4 Matx, LGA 1700, 12ª Geração;R$ 629,00
8;Placa Mãe Gigabyte, Para Intel 1200, H410M H V3 1.0 Ultra, Durable 2x DDR4, Matx;R$ 565,11
9;Placa Mãe Asus Prime H510M-E, Intel LGA 1200, Micro ATX, DDR4, VGA/HDMI/Displayport - 90MB17E0-C1BAY0;R$ 856,21
10;Placa Mãe Asus Para Intel 1700 B660m, Tuf Gaming Plus D4 4xDDR4 Matx 90mb1940-c1bay0;R$ 1.071,00
11;Placa Mãe Gigabyte B360M Aorus Gaming 3 Intel 8º/9º Geração LGA1151 DDR4;R$ 656,01
12;Placa Mãe, Gigabyte, Para Intel 1700 B660m Gaming X 4x, DDR4 Matx;R$ 926,10
13;Placa Mãe Integrada PCWare IPX1800G2 Intel Celeron J1800 2.41GHz Dual Core DDR3 Mini ITX;R$ 448,79
14;Placa Mãe Asus A520M-E Prime AMD, Socket AM4, DDR4, mATX;R$ 658,32
15;Placa Mãe Asus Prime H410M-E, Intel LGA1200, 10ª Geração, DDR4 - DCR2020;R$ 517,50
16;Placa - mãe Asus A320m-k/br, AMD AM4, mATX Prime, 2x DDR4, VGA, HDMI, M.2, USB 3.1, Ai Suite 3, Ai Charge Asus Fan Xpert, Suporta Ryzen 2000;R$ 448,79
17;Placa Mãe Asus Prime H610M-E D4, DDR4, Socket LGA 1700, Micro ATX;R$ 667,71
18;Placa Mãe Asrock A320m-hd R40, Chipset A320, Am4, Matx, DDR4;R$ 475,11
19;Placa Mae Gigabyte Box AM4 Micro Atx A520M, DS3H, DDR4, DP, HDMI, DVI-D, USB 3.0;R$ 708,58
20;Placa Mae Asrock A320m-hdv R4.0 Micro Atx Am4 Ddr4 Hdmi M.2 Usb 3.1;R$ 422,45
21;Placa Mãe Gigabyte Aorus PRO-P B550M,  AMD AM4 mATX, DDR4, LED RGB - 9MB55MAOP-00-10;R$ 1.357,11
22;Placa Mãe, Brazilpc AM3+ BPC-78FX-G V2.1, Oem;R$ 284,66
23;Placa Mãe Gigabyte B660m Ds3h DDR4 / Intel Lga 1700/ RGB / M.2 Nvme Dark Brown;R$ 995,31
24;Placa Mãe Gigabyte A520m H, AM4, DDR4 - A520;R$ 531,81
25;Placa Mãe Gigabyte X570, UD, RGB, AMD - 9mx57ud-00-10;R$ 1.469,61
26;Placa Mãe Afox, LGA 1151, DDR4, HDMI/VGA - IH110-MA4-V2;R$ 537,25
27;Placa Mãe Asus H81M-E, Intel, LGA 1150, H3, DDR 3, OEM;R$ 402,69
28;Placa Mãe Micro ATX AFOX IH61-MA5 2ª e 3º Geração LGA 1155 Intel H61 VGA HDMI DDR3 Até 16GB - BRX;R$ 585,00
29;Placa Mãe Gigabyte Gaming X Z590m, Intel 10-11 Geração, Socket LGA1200, DDR4, Micro Atx, RGB, LED;R$ 1.490,72
